latitude,longitude,Depth (m),PHP (mg C m-3 d-1)
43.0327,-27.2662,5.0,0.3924674243760001
43.0327,-27.2662,10.0,0.4334956410360001
43.0327,-27.2662,20.0,0.585263799648
43.0327,-27.2662,35.0,0.5049772154759999
43.0327,-27.2662,60.0,0.16799341860359998
43.0432,-27.2515,5.0,0.48345820029600006
43.0432,-27.2515,15.0,0.444806744088
43.0432,-27.2515,25.0,0.29310442702080003
43.0432,-27.2515,40.0,0.48951911557199995
43.0432,-27.2515,60.0,0.09757882471920001
43.0432,-27.2515,150.0,0.0300118381596
42.9902,-27.249000000000002,5.0,0.42547230114
42.9902,-27.249000000000002,15.0,0.46017742399199996
42.9902,-27.249000000000002,25.0,0.32767565409
42.9902,-27.249000000000002,32.0,0.3548381502516
42.9902,-27.249000000000002,60.0,0.1340525281992
42.9717,-27.2372,5.0,0.3074140236108
42.9717,-27.2372,18.0,0.37629758654400003
42.9717,-27.2372,28.0,0.34495047272400003
42.9717,-27.2372,38.0,0.402943474104
42.9717,-27.2372,70.0,0.0640528247988
42.9717,-27.2372,150.0,0.0264205360608
42.9625,-27.2202,7.0,0.4986673336200001
42.9625,-27.2202,20.0,0.576867995124
42.9625,-27.2202,30.0,0.42781847203199996
42.9625,-27.2202,40.0,0.27926754154440003
42.9625,-27.2202,71.0,0.12501954741840002
42.9625,-27.2202,150.0,0.024239470672800002
