latitude,longitude,Depth (m),PHP (mg C m-3 d-1)
61.8287,-33.9433,9.0,0.610628795976
61.8287,-33.9433,20.0,0.48483797359200004
61.8287,-33.9433,31.0,0.37202953122000004
61.8287,-33.9433,40.0,0.20597900801760002
61.8287,-33.9433,50.0,0.10630179829559999
61.8287,-33.9433,150.0,0.0209820693384
61.693999999999996,-33.7773,9.0,0.4895944545
61.693999999999996,-33.7773,15.0,0.60522623142
61.693999999999996,-33.7773,22.0,0.565339888476
61.693999999999996,-33.7773,32.0,0.34919272891799996
61.693999999999996,-33.7773,41.0,0.1749202839612
61.693999999999996,-33.7773,150.0,0.05909481363479999
61.6945,-33.777,5.0,0.6600716280840001
61.6945,-33.777,12.0,0.47891236624800004
61.6945,-33.777,20.0,0.48397441093199994
61.6945,-33.777,35.0,0.36059605821
61.6945,-33.777,56.0,0.0842146635252
61.6945,-33.777,150.0,0.004407950574
61.6673,-33.8667,5.0,0.50347341738
61.6673,-33.8667,10.0,0.53604986472
61.6673,-33.8667,17.0,0.417222504384
61.6673,-33.8667,30.0,0.20613197170200004
61.6673,-33.8667,51.0,0.073192921008
61.6673,-33.8667,150.0,0.0075091834068
61.7738,-33.9063,7.0,0.6250531037879999
61.7738,-33.9063,14.0,0.45107612332800007
61.7738,-33.9063,24.0,0.411440236824
61.7738,-33.9063,34.0,0.309937102302
61.7738,-33.9063,50.0,0.07892274854640001
61.7738,-33.9063,150.0,0.0274895451324
61.795,-33.9035,9.0,0.2990423496108
61.795,-33.9035,18.0,0.36300872376719995
61.795,-33.9035,25.0,0.2634506454828
61.795,-33.9035,35.0,0.12730051437360002
61.795,-33.9035,50.0,0.0885428128452
61.795,-33.9035,150.0,0.0252897988716
61.7623,-33.9057,8.0,0.5398623803759999
61.7623,-33.9057,14.0,0.439708008672
61.7623,-33.9057,21.0,0.41601566905200005
61.7623,-33.9057,33.0,0.2547246553212
61.7623,-33.9057,56.0,0.08599271229720001
61.7623,-33.9057,150.0,0.0383165804316
