Depth (m),ngC L-1 h-1,PHP (mg C m-3 d-1)
5,36.0824,0.865978564774062
5,36.6148,0.878754982941087
15,24.6371,0.59129095066306
15,29.312,0.70348863919055
30,21.4449,0.514678133978841
30,18.7726,0.450541644591133
45,20.2169,0.48520585445636
45,16.4974,0.3959371657105
60,20.3866,0.489279087283877
80,15.9981,0.383953686729831
80,14.3533,0.344479784816395
90,9.0716,0.217719171979367
90,9.5757,0.229816705303318
120,2.0879,0.050109496490625
120,2.38,0.0571197159112
150,2.1051,0.050522652147896
150,1.3295,0.031907221490647
200,2.38,0.05712
200,1.6,0.0384
250,0.9568,0.022964076541914
250,0.616,0.014782964462407
500,0.34,0.00816
500,0.29,0.00696
1000,0.06,0.00144
1000,0.24,0.00576
