Datacycle,press,temp,cond,alt,oxygen,fluor,atten,trans,jday,lat,lon,PAR,UPAR,oxV,oxdVdt,oxysat,salin,potemp,sigma0,sigma2
1.0,7.0,15.2318,43.7335,96.8244,243.1183,0.3556,0.0021,94.8171,202.9648,49.4457,-16.9073,0.0,0.0001,2.7,0.0001,5.6432,35.5314,15.2308,26.3306,34.931
2.0,9.0,15.2277,43.7299,95.2118,243.41,0.3863,0.0021,94.8344,202.965,49.4457,-16.9073,0.0,0.0001,2.704,0.0,5.6435,35.5311,15.2264,26.3314,34.9319
3.0,11.0,15.2309,43.7361,91.5311,243.6256,0.3717,0.0021,94.8278,202.965,49.4457,-16.9073,0.0,0.0001,2.7044,0.0004,5.6433,35.5328,15.2292,26.3321,34.9325
4.0,13.0,15.233,43.7392,85.2639,243.1356,0.3553,0.0021,94.8075,202.9651,49.4457,-16.9073,0.0,0.0001,2.7004,-0.001,5.6432,35.533,15.231,26.3318,34.9321
5.0,15.0,15.2303,43.74,98.71,243.8002,0.3795,0.0021,94.8379,202.9651,49.4457,-16.9073,0.0,0.0001,2.704,0.0003,5.6431,35.5353,15.2281,26.3342,34.9346
6.0,17.0,15.2304,43.7425,88.8785,244.0802,0.3694,0.0021,94.8355,202.9652,49.4457,-16.9074,0.0,0.0001,2.7046,0.0007,5.6431,35.5367,15.2278,26.3354,34.9358
7.0,19.0,15.2305,43.7435,98.6922,243.9726,0.386,0.0021,94.8194,202.9653,49.4457,-16.9074,0.0,0.0001,2.7052,-0.0002,5.6431,35.5366,15.2276,26.3353,34.9357
8.0,21.0,15.2307,43.7443,82.6454,243.868,0.3816,0.0021,94.8412,202.9653,49.4457,-16.9074,0.0,0.0001,2.7038,-0.0002,5.643,35.5364,15.2275,26.3352,34.9356
9.0,23.0,15.2313,43.7463,98.71,243.4769,0.4121,0.0021,94.8231,202.9654,49.4457,-16.9074,0.0,0.0001,2.7018,-0.0015,5.643,35.5368,15.2278,26.3355,34.9358
10.0,25.0,15.2313,43.7469,98.71,243.48,0.4029,0.0021,94.8351,202.9654,49.4457,-16.9074,0.0,0.0001,2.6988,-0.0007,5.6429,35.5366,15.2276,26.3354,34.9358
11.0,27.0,15.2313,43.7496,88.2292,244.0348,0.409,0.0021,94.8102,202.9654,49.4457,-16.9074,0.0,0.0001,2.7001,0.0012,5.6429,35.5383,15.2271,26.3367,34.9371
12.0,29.0,15.2306,43.7507,88.3098,243.8604,0.3989,0.0021,94.8257,202.9655,49.4457,-16.9074,0.0,0.0001,2.7006,-0.0001,5.6431,35.5389,15.2262,26.3375,34.9379
13.0,31.0,15.2292,43.751,98.71,243.975,0.3873,0.0021,94.867,202.9655,49.4457,-16.9074,0.0,0.0001,2.701,0.0001,5.6436,35.5397,15.2245,26.3384,34.9389
14.0,33.0,15.2234,43.7479,98.71,243.9142,0.389,0.0021,94.8382,202.9655,49.4457,-16.9074,0.0,0.0001,2.6995,-0.0002,5.6452,35.5415,15.2184,26.3412,34.9418
15.0,35.0,15.2083,43.7334,74.9523,243.8767,0.3823,0.0021,94.8461,202.9656,49.4457,-16.9074,0.0,0.0001,2.6975,-0.0008,5.655,35.5411,15.2029,26.3443,34.9456
16.0,37.0,15.1454,43.6674,92.9572,244.0826,0.4092,0.0021,94.7726,202.9656,49.4457,-16.9074,0.0,0.0001,2.6974,0.0003,5.649,35.5373,15.1398,26.3554,34.9589
17.0,39.0,15.0773,43.6016,97.6069,244.6447,0.4715,0.0022,94.7243,202.9656,49.4457,-16.9074,0.0,0.0001,2.7006,-0.0003,5.6625,35.5384,15.0713,26.3714,34.9774
18.0,41.0,15.0532,43.5786,76.7543,245.0149,0.4676,0.0022,94.6776,202.9657,49.4457,-16.9074,0.0,0.0001,2.699,0.0007,5.6666,35.5385,15.0469,26.3769,34.9837
19.0,43.0,15.0254,43.5521,98.6933,243.9537,0.4652,0.0022,94.6671,202.9657,49.4457,-16.9074,0.0,0.0001,2.695,-0.0023,5.6689,35.5389,15.0189,26.3834,34.9912
20.0,45.0,15.0033,43.5324,88.967,243.9829,0.5111,0.0022,94.6874,202.9657,49.4457,-16.9074,0.0,0.0001,2.6915,-0.0013,5.6718,35.5401,14.9965,26.3893,34.9979
21.0,47.0,14.9838,43.5154,98.7037,243.0827,0.4865,0.0022,94.734,202.9658,49.4457,-16.9074,0.0,0.0001,2.6856,-0.0027,5.6732,35.5416,14.9767,26.3948,35.0041
22.0,49.0,14.9303,43.476,96.6738,243.4577,0.4481,0.0021,94.9116,202.9658,49.4457,-16.9074,0.0,0.0001,2.681,-0.0015,5.6856,35.5535,14.9229,26.4158,35.0269
23.0,51.0,14.8795,43.4333,98.425,240.3879,0.4318,0.002,95.0483,202.9658,49.4457,-16.9074,0.0,0.0001,2.6614,-0.0083,5.7068,35.56,14.8718,26.432,35.0449
24.0,53.0,14.7031,43.2944,98.71,239.4259,0.4418,0.002,94.9954,202.9659,49.4457,-16.9074,0.0,0.0001,2.6514,-0.007,5.6973,35.593,14.6952,26.4962,35.115
25.0,55.0,14.6287,43.2381,78.467,241.3762,0.4466,0.002,95.0918,202.9659,49.4457,-16.9074,0.0,0.0001,2.6538,-0.0002,5.7054,35.6084,14.6205,26.5244,35.1456
26.0,57.0,14.6413,43.2449,98.146,239.5087,0.4354,0.002,95.0932,202.9659,49.4457,-16.9074,0.0,0.0001,2.6399,-0.0059,5.7312,35.6023,14.6328,26.517,35.1379
27.0,59.0,14.4731,43.1061,90.3858,237.8845,0.4176,0.002,95.1292,202.966,49.4457,-16.9074,0.0,0.0001,2.6233,-0.0068,5.7445,35.6277,14.4643,26.5731,35.1998
28.0,61.0,14.2845,42.9244,98.71,238.9905,0.4094,0.0019,95.4125,202.966,49.4457,-16.9074,0.0,0.0001,2.621,-0.0003,5.7368,35.6323,14.2755,26.6172,35.2507
29.0,63.0,14.19,42.8264,98.5892,236.8931,0.3349,0.0018,95.7407,202.966,49.4457,-16.9074,0.0,0.0001,2.596,-0.0101,5.8355,35.6277,14.1809,26.6338,35.2709
30.0,65.0,13.3832,42.0929,93.4175,231.8622,0.2494,0.0015,96.3621,202.9661,49.4457,-16.9074,0.0,0.0001,2.555,-0.0121,5.8291,35.6888,13.374,26.8504,35.5167
31.0,67.0,13.2984,42.0226,82.5164,235.7788,0.2157,0.0015,96.43,202.9661,49.4457,-16.9074,0.0,0.0001,2.5551,-0.0014,5.8675,35.7007,13.289,26.8771,35.5464
32.0,69.0,13.3686,42.0813,96.2318,233.1277,0.2067,0.0014,96.5439,202.9661,49.4457,-16.9074,0.0,0.0001,2.5407,-0.0063,5.8758,35.69,13.359,26.8545,35.5213
33.0,71.0,13.1302,41.8775,93.887,234.4376,0.1455,0.0013,96.861,202.9662,49.4457,-16.9074,0.0,0.0001,2.5375,-0.0007,5.8807,35.719,13.1203,26.9258,35.6012
34.0,73.0,13.1601,41.9054,98.1319,233.5202,0.1373,0.0013,96.8939,202.9662,49.4457,-16.9074,0.0,0.0001,2.532,-0.0025,5.8852,35.7168,13.15,26.918,35.5924
35.0,75.0,13.0868,41.845,98.71,232.0968,0.1119,0.0012,97.1274,202.9662,49.4457,-16.9074,0.0,0.0001,2.5235,-0.0045,5.8848,35.7272,13.0765,26.941,35.618
36.0,77.0,13.1071,41.8781,83.2788,232.672,0.0886,0.0011,97.2305,202.9663,49.4457,-16.9074,0.0,0.0001,2.5214,-0.0014,5.8858,35.7388,13.0964,26.946,35.6221
37.0,79.0,13.1046,41.8766,98.6855,230.7677,0.0816,0.0011,97.3648,202.9663,49.4457,-16.9074,0.0,0.0001,2.5101,-0.0045,5.8889,35.739,13.0937,26.9466,35.6228
38.0,81.0,13.0757,41.8532,91.4617,229.509,0.0728,0.001,97.4216,202.9663,49.4457,-16.9074,0.0,0.0001,2.4983,-0.0043,5.8887,35.743,13.0644,26.9557,35.6329
39.0,83.0,13.0538,41.8301,98.71,230.566,0.0611,0.001,97.5013,202.9664,49.4457,-16.9074,0.0,0.0001,2.4964,-0.0006,5.8972,35.7406,13.0423,26.9583,35.6365
40.0,85.0,13.0314,41.8036,83.4594,231.2615,0.0445,0.001,97.5377,202.9664,49.4457,-16.9074,0.0,0.0001,2.4969,0.0012,5.9018,35.7357,13.0197,26.9591,35.6381
41.0,87.0,12.9705,41.7353,88.4188,232.9126,0.0455,0.001,97.6016,202.9664,49.4457,-16.9074,0.0,0.0001,2.5057,0.0025,5.9077,35.7269,12.9585,26.9647,35.6462
42.0,89.0,12.9411,41.7003,98.695,232.395,0.0497,0.001,97.6255,202.9665,49.4456,-16.9074,0.0,0.0001,2.5063,-0.0002,5.9098,35.7204,12.9288,26.9656,35.6484
43.0,91.0,12.8887,41.6415,98.71,233.1869,0.043,0.001,97.6619,202.9665,49.4456,-16.9074,0.0,0.0001,2.5094,0.0005,5.9155,35.7126,12.8762,26.9702,35.655
44.0,93.0,12.8691,41.6204,98.71,231.7013,0.0362,0.0009,97.6489,202.9665,49.4457,-16.9074,0.0,0.0001,2.5028,-0.0024,5.9151,35.71,12.8563,26.9722,35.6578
45.0,95.0,12.8585,41.6104,92.5772,232.2254,0.0311,0.0009,97.7137,202.9666,49.4456,-16.9074,0.0,0.0001,2.5013,-0.0007,5.921,35.7096,12.8455,26.974,35.6601
46.0,97.0,12.8353,41.5832,95.457,231.6773,0.0351,0.0009,97.7353,202.9666,49.4456,-16.9074,0.0,0.0001,2.4973,-0.0015,5.9218,35.7045,12.822,26.9748,35.6619
