Datacycle,press,temp2,cond2,alt,oxygen,fluor,atten,trans,jday,lat,lon,PAR,UPAR,oxV,oxdVdt,oxysat,salin2,potemp2
1.0,1.0,15.374,43.9301,0.0,233.1495,-0.0021,0.5526,-0.4171,213.4253,48.6966,-16.5567,0.0,0.0,3.589,0.0013,5.6251,35.5831,15.3737
2.0,3.0,15.3752,43.9322,0.0,232.4857,-0.0021,0.5526,-0.4137,213.4253,48.6965,-16.5567,0.0,0.0,3.5851,-0.0009,5.6252,35.5833,15.3748
3.0,5.0,15.3722,43.9303,0.0,232.9541,-0.0021,0.5526,-0.3741,213.4254,48.6965,-16.5566,0.0,0.0,3.5871,0.0005,5.6255,35.5834,15.3714
4.0,7.0,15.3697,43.9283,0.0,232.5189,-0.0021,0.5526,-0.2923,213.4256,48.6965,-16.5566,0.0,0.0,3.5849,-0.0015,5.6259,35.583,15.3686
5.0,9.0,15.3667,43.9262,0.0,233.0252,-0.0021,0.2714,2.5278,213.4256,48.6965,-16.5566,0.0,0.0,3.5859,0.0008,5.626,35.5831,15.3652
6.0,11.0,15.3645,43.9248,0.0,232.9994,-0.0021,0.1176,5.2893,213.4257,48.6964,-16.5566,0.0,0.0,3.584,0.0003,5.6265,35.583,15.3628
7.0,13.0,15.3593,43.9196,0.0,232.9269,-0.0021,0.1149,5.6587,213.4258,48.6964,-16.5566,0.0,0.0,3.5852,-0.0004,5.627,35.5824,15.3573
8.0,15.0,15.3573,43.9186,0.0,233.1235,-0.0021,0.1121,6.0596,213.4259,48.6964,-16.5566,0.0,0.0,3.5853,0.0002,5.6272,35.5825,15.3551
9.0,17.0,15.3567,43.9192,0.0,232.8407,-0.0021,0.11,6.383,213.426,48.6963,-16.5566,0.0,0.0,3.5822,-0.0004,5.6274,35.5827,15.3541
10.0,19.0,15.3512,43.9154,0.0,232.8584,-0.0021,0.1079,6.7337,213.4261,48.6963,-16.5566,0.0,0.0,3.5808,-0.0001,5.6278,35.5832,15.3482
11.0,21.0,15.3552,43.9204,0.0,232.9704,-0.0021,0.1059,7.0668,213.4262,48.6963,-16.5566,0.0,0.0,3.5825,-0.0001,5.6272,35.5833,15.3519
12.0,23.0,15.3548,43.9221,0.0,232.9352,-0.0021,0.1041,7.3865,213.4263,48.6963,-16.5566,0.0,0.0,3.5812,-0.0002,5.6273,35.5844,15.3513
13.0,25.0,15.355,43.9239,0.0,232.8065,-0.0021,0.1024,7.7564,213.4263,48.6962,-16.5565,0.0,0.0,3.5777,-0.0003,5.6274,35.5851,15.3512
14.0,27.0,15.3539,43.9237,0.0,232.8558,-0.0021,0.1005,8.0931,213.4264,48.6962,-16.5565,0.0,0.0,3.5778,-0.0001,5.6273,35.5851,15.3497
15.0,29.0,15.3558,43.9265,0.0,232.6648,-0.0021,0.0991,8.3859,213.4265,48.6962,-16.5565,0.0,0.0,3.5759,-0.0008,5.6273,35.5851,15.3513
16.0,31.0,15.3539,43.9251,0.0,232.7363,-0.0021,0.0961,9.0561,213.4266,48.6962,-16.5565,0.0,0.0,3.5749,0.0,5.6274,35.5848,15.3492
17.0,33.0,15.3534,43.9256,0.0,232.7444,-0.0021,0.0937,9.6012,213.4267,48.6962,-16.5565,0.0,0.0,3.5743,0.0,5.6275,35.5847,15.3483
18.0,35.0,15.3518,43.9247,0.0,232.6499,-0.0021,0.0926,9.9065,213.4267,48.6961,-16.5565,0.0,0.0,3.5709,-0.0001,5.6295,35.5847,15.3464
19.0,37.0,15.3434,43.9181,0.0,232.4164,-0.0021,0.0914,10.1598,213.4268,48.6961,-16.5565,0.0,0.0,3.569,-0.0007,5.6312,35.5856,15.3378
20.0,39.0,15.2717,43.8552,0.0,231.5671,-0.0021,0.0909,10.3173,213.4269,48.6961,-16.5565,0.0,0.0,3.555,-0.0021,5.6408,35.5926,15.2657
21.0,41.0,15.1332,43.7257,0.0,230.3032,-0.0021,0.0902,10.4955,213.427,48.6961,-16.5565,0.0,0.0,3.5318,-0.0028,5.6578,35.5997,15.1268
22.0,43.0,14.9197,43.5528,0.0,227.8811,-0.0021,0.0897,10.6171,213.427,48.6961,-16.5565,0.0,0.0,3.4967,-0.0103,5.7013,35.6359,14.9132
23.0,45.0,14.4743,43.1861,0.0,224.6151,-0.0021,0.0886,10.9146,213.4271,48.6961,-16.5565,0.0,0.0,3.4312,-0.0089,5.7487,35.7067,14.4676
24.0,47.0,14.0266,42.8375,0.0,222.2185,-0.0021,0.0877,11.1801,213.4272,48.696,-16.5565,0.0,0.0,3.3812,-0.0055,5.7789,35.7964,14.0198
25.0,49.0,13.8545,42.6966,0.0,221.9941,-0.0021,0.0872,11.3165,213.4273,48.696,-16.5565,0.0,0.0,3.3603,-0.0012,5.7941,35.8242,13.8474
26.0,51.0,13.7968,42.6451,0.0,222.1472,-0.0021,0.0864,11.5441,213.4274,48.696,-16.5565,0.0,0.0,3.3574,-0.0007,5.7997,35.8288,13.7894
27.0,53.0,13.7744,42.6254,0.0,222.0925,-0.0021,0.0862,11.6067,213.4274,48.696,-16.5565,0.0,0.0,3.353,-0.0005,5.8059,35.8305,13.7668
28.0,55.0,13.7001,42.5507,0.0,222.2974,-0.0021,0.0855,11.7919,213.4275,48.696,-16.5564,0.0,0.0,3.3512,-0.0003,5.8125,35.8289,13.6923
29.0,57.0,13.6704,42.5197,0.0,222.3471,-0.0021,0.085,11.9296,213.4276,48.696,-16.5564,0.0,0.0,3.35,0.0,5.8141,35.8267,13.6623
30.0,59.0,13.6636,42.5123,0.0,222.0963,-0.0021,0.0846,12.0739,213.4277,48.6959,-16.5564,0.0,0.0,3.3458,-0.0007,5.818,35.8253,13.6553
31.0,61.0,13.5838,42.4216,0.0,222.0188,-0.0021,0.0845,12.0793,213.4278,48.6959,-16.5564,0.0,0.0,3.3398,-0.0006,5.8271,35.8134,13.5751
32.0,63.0,13.5437,42.3756,0.0,221.7361,-0.0021,0.0845,12.0835,213.4279,48.6959,-16.5564,0.0,0.0,3.3361,-0.0013,5.8309,35.8068,13.5348
33.0,65.0,13.5272,42.359,0.0,221.4825,-0.0021,0.0838,12.3075,213.4279,48.6959,-16.5564,0.0,0.0,3.3298,-0.0008,5.8333,35.8058,13.518
34.0,67.0,13.497,42.3263,0.0,221.0071,-0.0021,0.0841,12.2406,213.428,48.6959,-16.5564,0.0,0.0,3.3225,-0.0009,5.836,35.8021,13.4875
35.0,69.0,13.488,42.3169,0.0,220.8559,-0.0021,0.0838,12.2906,213.4281,48.6959,-16.5564,0.0,0.0,3.3189,-0.0007,5.8381,35.8011,13.4782
36.0,71.0,13.4691,42.2973,0.0,220.438,-0.0021,0.084,12.2504,213.4282,48.6958,-16.5564,0.0,0.0,3.3118,-0.0008,5.8411,35.7995,13.4591
37.0,73.0,13.4219,42.2435,0.0,220.6478,-0.0021,0.0836,12.3504,213.4282,48.6958,-16.5564,0.0,0.0,3.3092,-0.0002,5.8475,35.7919,13.4116
38.0,75.0,13.3769,42.1933,0.0,220.3308,-0.0021,0.0834,12.4414,213.4283,48.6958,-16.5564,0.0,0.0,3.3054,-0.0009,5.8512,35.7857,13.3663
39.0,77.0,13.3709,42.1879,0.0,219.7364,-0.0021,0.0837,12.3483,213.4284,48.6958,-16.5564,0.0,0.0,3.2978,-0.0013,5.8514,35.7854,13.3601
40.0,79.0,13.3724,42.1911,0.0,219.5687,-0.0021,0.0836,12.3723,213.4285,48.6958,-16.5564,0.0,0.0,3.2937,-0.0004,5.8511,35.7862,13.3613
