Datacycle,press,temp2,cond2,alt,oxygen,fluor,atten,trans,jday,lat,lon,PAR,UPAR,oxV,oxdVdt,oxysat,salin2,potemp2
1.0,3.0,15.3986,44.0239,0.0,232.482,-0.0021,0.5526,-0.4653,212.3501,48.8396,-16.4972,0.0,0.0,3.5853,-0.0005,5.6205,35.645,15.398
2.0,5.0,15.3976,44.0236,0.0,232.8463,-0.0021,0.5526,-0.4653,212.3502,48.8396,-16.4972,0.0,0.0,3.5887,0.0004,5.6205,35.645,15.3968
3.0,7.0,15.3958,44.0224,0.0,232.3432,-0.0021,0.5526,-0.4653,212.3503,48.8396,-16.4972,0.0,0.0,3.5827,-0.0005,5.6206,35.6449,15.3947
4.0,9.0,15.3956,44.0232,0.0,232.3893,-0.0021,0.5526,-0.4653,212.3505,48.8396,-16.4972,0.0,0.0,3.5826,-0.0001,5.6207,35.6449,15.3942
5.0,11.0,15.3942,44.0226,0.0,232.686,-0.0021,0.5526,-0.4653,212.3506,48.8396,-16.4972,0.0,0.0,3.5842,0.0004,5.6209,35.6448,15.3926
6.0,13.0,15.3931,44.0221,0.0,232.406,-0.0021,0.5526,-0.4653,212.3507,48.8396,-16.4972,0.0,0.0,3.5819,-0.0004,5.621,35.6446,15.3911
7.0,15.0,15.392,44.0219,0.0,232.4159,-0.0021,0.5526,-0.4653,212.3509,48.8396,-16.4973,0.0,0.0,3.5796,0.0001,5.6211,35.6445,15.3897
8.0,17.0,15.3932,44.024,0.0,232.383,-0.0021,0.5526,-0.4653,212.351,48.8396,-16.4973,0.0,0.0,3.5786,0.0001,5.621,35.6445,15.3906
9.0,19.0,15.3939,44.0254,0.0,232.0641,-0.0021,0.5526,-0.4653,212.351,48.8396,-16.4973,0.0,0.0,3.5756,-0.0006,5.6209,35.6444,15.391
10.0,21.0,15.394,44.0265,0.0,232.3547,-0.0021,0.5526,-0.4653,212.3511,48.8396,-16.4973,0.0,0.0,3.5772,0.0,5.6209,35.6445,15.3908
11.0,23.0,15.3947,44.0283,0.0,232.28,-0.0021,0.5526,-0.4653,212.3512,48.8396,-16.4973,0.0,0.0,3.5756,0.0,5.6208,35.6445,15.3912
12.0,25.0,15.3952,44.0299,0.0,232.3895,-0.0021,0.5526,-0.4653,212.3514,48.8396,-16.4973,0.0,0.0,3.5761,0.0002,5.6207,35.6446,15.3913
13.0,27.0,15.3952,44.0305,0.0,231.9403,-0.0021,0.5526,-0.4653,212.3514,48.8396,-16.4973,0.0,0.0,3.5731,-0.0013,5.6208,35.6444,15.391
14.0,29.0,15.3932,44.029,0.0,232.4106,-0.0021,0.5526,-0.4653,212.3515,48.8396,-16.4974,0.0,0.0,3.5717,0.0013,5.6212,35.6442,15.3888
15.0,31.0,15.3901,44.0264,0.0,232.2123,-0.0021,0.5526,-0.4653,212.3516,48.8396,-16.4974,0.0,0.0,3.5722,-0.0004,5.6213,35.6439,15.3854
16.0,33.0,15.3907,44.0279,0.0,232.1926,-0.0021,0.5526,-0.4653,212.3517,48.8396,-16.4974,0.0,0.0,3.5712,-0.0001,5.6212,35.6439,15.3857
17.0,35.0,15.3927,44.0312,0.0,232.2676,-0.0021,0.5526,-0.4653,212.3518,48.8396,-16.4974,0.0,0.0,3.5706,0.0003,5.621,35.6442,15.3873
18.0,37.0,15.3895,44.0285,0.0,231.8899,-0.0021,0.5526,-0.4653,212.3519,48.8396,-16.4974,0.0,0.0,3.5662,-0.0007,5.6218,35.6437,15.3838
19.0,39.0,15.38,44.0191,0.0,232.155,-0.0021,0.5526,-0.4653,212.352,48.8397,-16.4974,0.0,0.0,3.5654,0.0003,5.6234,35.6429,15.3739
20.0,41.0,15.3511,43.9897,0.0,232.1707,-0.0021,0.5526,-0.4653,212.3521,48.8397,-16.4974,0.0,0.0,3.5604,-0.0019,5.6431,35.6417,15.3448
21.0,43.0,14.8917,43.5349,0.0,228.7878,-0.0021,0.5526,-0.4616,212.3523,48.8397,-16.4975,0.0,0.0,3.4974,-0.0072,5.7083,35.6449,14.8851
22.0,45.0,14.4646,43.1587,0.0,225.0204,-0.0021,0.5526,-0.4605,212.3523,48.8397,-16.4975,0.0,0.0,3.4463,-0.008,5.7226,35.6901,14.458
23.0,47.0,14.0914,42.8589,0.0,223.4856,-0.0021,0.5526,-0.4653,212.3524,48.8397,-16.4975,0.0,0.0,3.3981,-0.0052,5.7783,35.7561,14.0846
24.0,49.0,13.9176,42.7187,0.0,223.1057,-0.0021,0.5526,-0.4653,212.3525,48.8397,-16.4975,0.0,0.0,3.3759,-0.001,5.7876,35.7859,13.9105
25.0,51.0,13.8311,42.6412,0.0,222.856,-0.0021,0.5526,-0.4653,212.3526,48.8397,-16.4975,0.0,0.0,3.3635,-0.0015,5.8089,35.7931,13.8238
26.0,53.0,13.6758,42.5072,0.0,221.8997,-0.0021,0.5526,-0.4653,212.3527,48.8397,-16.4975,0.0,0.0,3.3504,-0.0018,5.8139,35.8115,13.6683
27.0,55.0,13.5742,42.4014,0.0,221.9933,-0.0021,0.5526,-0.4653,212.3529,48.8397,-16.4976,0.0,0.0,3.3405,-0.0004,5.8286,35.8061,13.5664
28.0,57.0,13.52,42.3407,0.0,221.6932,-0.0021,0.5526,-0.4653,212.353,48.8397,-16.4976,0.0,0.0,3.3343,-0.0004,5.8341,35.7986,13.512
29.0,59.0,13.4518,42.2632,0.0,221.7754,-0.0021,0.5526,-0.4653,212.3531,48.8397,-16.4976,0.0,0.0,3.3301,-0.0003,5.843,35.7884,13.4434
30.0,61.0,13.3982,42.2026,0.0,221.8146,-0.0021,0.5526,-0.4653,212.3533,48.8397,-16.4976,0.0,0.0,3.3268,-0.0003,5.8495,35.7805,13.3896
31.0,63.0,13.3768,42.179,0.0,222.0403,-0.0021,0.5526,-0.4653,212.3534,48.8397,-16.4976,0.0,0.0,3.3276,0.0001,5.8517,35.7774,13.368
32.0,65.0,13.3397,42.1375,0.0,222.2002,-0.0021,0.5526,-0.4653,212.3535,48.8397,-16.4976,0.0,0.0,3.3266,-0.0001,5.8566,35.772,13.3306
33.0,67.0,13.3088,42.1032,0.0,222.1055,-0.0021,0.5526,-0.4653,212.3537,48.8397,-16.4976,0.0,0.0,3.323,-0.0005,5.8628,35.7676,13.2994
34.0,69.0,13.2387,42.0264,0.0,221.9854,-0.0021,0.5526,-0.4653,212.3538,48.8397,-16.4976,0.0,0.0,3.3185,-0.0004,5.8684,35.7597,13.229
35.0,71.0,13.2134,41.9992,0.0,221.719,-0.0021,0.5526,-0.4653,212.3539,48.8397,-16.4976,0.0,0.0,3.3142,-0.0009,5.872,35.7567,13.2035
36.0,73.0,13.189,41.9727,0.0,221.972,-0.0021,0.5526,-0.4653,212.354,48.8397,-16.4976,0.0,0.0,3.3125,0.0,5.8767,35.7538,13.1789
37.0,75.0,13.1531,41.9342,0.0,222.2306,-0.0021,0.5526,-0.4653,212.3541,48.8397,-16.4976,0.0,0.0,3.3133,0.0002,5.8796,35.75,13.1427
38.0,77.0,13.1267,41.9063,0.0,222.1981,-0.0021,0.5526,-0.4606,212.3542,48.8397,-16.4977,0.0,0.0,3.3105,-0.0001,5.8841,35.7472,13.116
39.0,79.0,13.095,41.8723,0.0,222.0259,-0.0021,0.5526,-0.4616,212.3543,48.8397,-16.4977,0.0,0.0,3.3075,-0.0006,5.8869,35.7438,13.084
40.0,81.0,13.0816,41.8581,0.0,222.0585,-0.0021,0.5526,-0.4556,212.3544,48.8397,-16.4977,0.0,0.0,3.3055,-0.0001,5.8886,35.742,13.0704
41.0,83.0,13.0616,41.8365,0.0,221.7645,-0.0021,0.5526,-0.4571,212.3545,48.8397,-16.4977,0.0,0.0,3.3015,-0.0008,5.892,35.7394,13.05
42.0,85.0,13.0368,41.8091,0.0,222.1304,-0.0021,0.2379,6.8373,212.3546,48.8397,-16.4977,0.0,0.0,3.3012,0.0004,5.8949,35.7356,13.025
43.0,87.0,12.998,41.7654,0.0,222.4976,-0.0021,0.0805,13.3892,212.3547,48.8397,-16.4977,0.0,0.0,3.3032,0.0,5.9009,35.7298,12.986
44.0,89.0,12.9617,41.7252,0.0,222.5032,-0.0021,0.0789,13.9318,212.3548,48.8397,-16.4977,0.0,0.0,3.302,-0.0003,5.9041,35.7247,12.9494
45.0,91.0,12.9473,41.7097,0.0,222.5881,-0.0021,0.0891,11.3043,212.3549,48.8397,-16.4977,0.0,0.0,3.3006,0.0001,5.906,35.7227,12.9348
46.0,93.0,12.9304,41.691,0.0,222.8281,-0.0021,0.1208,5.0884,212.355,48.8397,-16.4977,0.0,0.0,3.3016,0.0001,5.9089,35.7198,12.9177
47.0,95.0,12.9004,41.6575,0.0,222.9966,-0.0021,0.131,3.8526,212.3551,48.8397,-16.4977,0.0,0.0,3.3018,0.0,5.9116,35.7151,12.8874
48.0,97.0,12.8931,41.6499,0.0,223.1348,-0.0021,0.1338,3.5513,212.3552,48.8397,-16.4977,0.0,0.0,3.3022,0.0,5.9129,35.7138,12.8797
49.0,99.0,12.8747,41.63,0.0,223.6423,-0.0021,0.1358,3.3436,212.3553,48.8397,-16.4977,0.0,0.0,3.3047,0.0006,5.9153,35.7111,12.861
50.0,101.0,12.862,41.6161,0.0,223.9617,-0.0021,0.1369,3.2772,212.3554,48.8397,-16.4977,0.0,0.0,3.3083,0.0004,5.9173,35.709,12.8482
51.0,103.0,12.8396,41.5916,0.0,224.177,-0.0021,0.1296,4.1335,212.3555,48.8397,-16.4977,0.0,0.0,3.3088,0.0002,5.9199,35.7059,12.8255
52.0,105.0,12.8285,41.5799,0.0,224.0399,-0.0021,0.1115,6.1861,212.3557,48.8397,-16.4977,0.0,0.0,3.3077,-0.0002,5.9206,35.7043,12.8142
