Datacycle,press,temp,cond,alt,oxygen,fluor,atten,trans,jday,lat,lon,PAR,UPAR,oxV,oxdVdt,oxysat,salin,potemp,sigma0,sigma2
1.0,5.0,15.4553,44.0817,98.71,243.3265,0.305,0.0034,91.9455,212.4966,48.8244,-16.5087,0.0,0.0001,2.7115,0.0004,5.6146,35.6451,15.4545,26.3682,34.9591
2.0,7.0,15.4487,44.0757,98.71,243.1558,0.3202,0.0034,91.9424,212.4966,48.8244,-16.5087,0.0,0.0001,2.7106,-0.0002,5.6143,35.6452,15.4476,26.3697,34.9609
3.0,9.0,15.4538,44.0817,98.71,243.3537,0.3468,0.0034,91.9093,212.4967,48.8244,-16.5087,0.0,0.0001,2.7112,0.0001,5.6143,35.6451,15.4524,26.3686,34.9597
4.0,11.0,15.4522,44.0813,98.71,242.433,0.3997,0.0034,91.9284,212.4968,48.8244,-16.5088,0.0,0.0001,2.7052,-0.0013,5.6143,35.6452,15.4505,26.3692,34.9602
5.0,13.0,15.4526,44.0826,98.71,243.2104,0.4953,0.0034,91.9205,212.4969,48.8244,-16.5088,0.0,0.0001,2.7077,0.0008,5.6145,35.6452,15.4506,26.3691,34.9602
6.0,15.0,15.4476,44.0786,98.71,242.5156,0.485,0.0034,91.9074,212.497,48.8244,-16.5088,0.0,0.0001,2.7051,-0.001,5.6146,35.6453,15.4452,26.3704,34.9617
7.0,17.0,15.4421,44.0738,98.71,242.6069,0.4943,0.0034,91.9219,212.497,48.8244,-16.5088,0.0,0.0001,2.7033,-0.0006,5.6152,35.6453,15.4395,26.3717,34.9631
8.0,19.0,15.4435,44.0757,98.71,242.2605,0.5697,0.0034,91.9128,212.4971,48.8244,-16.5088,0.0,0.0001,2.6992,-0.0005,5.6156,35.645,15.4406,26.3712,34.9626
9.0,21.0,15.4382,44.071,98.71,242.094,0.6883,0.0034,91.8827,212.4971,48.8244,-16.5088,0.0,0.0001,2.6977,-0.0007,5.6155,35.6446,15.4349,26.3721,34.9638
10.0,23.0,15.4417,44.0755,88.7724,242.4809,0.7476,0.0034,91.9099,212.4972,48.8244,-16.5088,0.0,0.0001,2.6986,0.0001,5.6165,35.6448,15.4382,26.3716,34.9631
