cast,date,time_start,lat_start,lon_start,ISO_DateTime_UTC,press,depth,temp,temp2,cond,cond2,sal,sal2,O2_v,O2,trans,beam_c,fluor,turbidity,par,spar,nitrate_SUNA,sigma_0,sigma_0_2,potemp,potemp2,sal_diff,temp_diff,cond_diff,O2sat,sound_vel,geopot_anom
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,4.0,3.9619999999999997,11.7293,11.7301,3.975369,3.975365,35.0129,35.0119,2.4773,6.48744,89.7992,0.4304,0.8869,0.6739014,39.535,950.86,0.0,26.6508,26.65,11.7288,11.7296,-0.001,0.0008,-4e-06,6.085430000000001,1496.63,0.162
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,5.0,4.952,11.7305,11.7344,3.975545,3.975835,35.0131,35.0116,2.476,6.48907,89.8101,0.4299,0.8837,0.6793078,34.032,951.56,9.2204e-07,26.6507,26.6493,11.7299,11.7338,-0.0015,0.0039,0.00028900000000000003,6.0852699999999995,1496.65,0.19699999999999998
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,6.0,5.943,11.7377,11.7381,3.9762449999999996,3.976222,35.0126,35.0121,2.4772,6.48735,89.8248,0.4292,0.8985,0.6576626999999999,30.201999999999998,945.14,0.0,26.6491,26.6485,11.7369,11.7374,-0.0006,0.0004,-2.3e-05,6.08436,1496.69,0.249
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,7.0,6.933,11.7109,11.7105,3.973758,3.973669,35.0136,35.0134,2.4761,6.48746,89.7969,0.4305,0.9595,0.6603651999999999,26.874000000000002,946.03,0.0,26.6545,26.6541,11.71,11.7097,-0.0002,-0.0004,-8.9e-05,6.08778,1496.61,0.27
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,8.0,7.922999999999999,11.7103,11.7062,3.97379,3.973297,35.0137,35.0123,2.4751,6.48678,89.7698,0.4317,1.053,0.6605995,24.194000000000003,941.2,0.0,26.655,26.655,11.7093,11.7052,-0.0015,-0.0041,-0.000493,6.08784,1496.63,0.311
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,9.0,8.914,11.6837,11.6869,3.9711730000000003,3.971464,35.0134,35.0146,2.4743,6.48566,89.7683,0.4317,1.0551,0.6607344,21.3,944.41,0.0,26.6592,26.6585,11.6825,11.6857,0.0012,0.0032,0.000291,6.09129,1496.55,0.33399999999999996
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,10.0,9.904,11.6684,11.6697,3.9698059999999997,3.969878,35.0138,35.0132,2.4769,6.4966099999999996,89.7654,0.4319,1.2358,0.6601253,18.76,941.84,0.0,26.6625,26.6618,11.6671,11.6684,-0.0006,0.0013,7.2e-05,6.09322,1496.51,0.369
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,11.0,10.895,11.6428,11.643,3.967361,3.967357,35.0138,35.0141,2.4748,6.49601,89.7626,0.432,1.3206,0.6679373000000001,17.136,942.65,0.0,26.6671,26.6668,11.6414,11.6416,0.0002,0.0003,-4e-06,6.09652,1496.44,0.397
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,12.0,11.885,11.6379,11.6381,3.9670019999999995,3.966946,35.0141,35.0133,2.4754,6.49635,89.7047,0.4346,1.4178,0.6637171,15.06,939.79,0.0,26.6685,26.6679,11.6364,11.6366,-0.0007,0.0002,-5.6000000000000006e-05,6.097119999999999,1496.44,0.428
69,20120704,1615,61.4977,-33.8692,2012-07-04T16:15:00Z,13.0,12.876,11.599,11.5986,3.963068,3.963103,35.0124,35.0171,2.4736,6.50821,89.7459,0.4327,1.4491,0.6815031,14.142999999999999,942.16,2.6836e-07,26.674,26.6746,11.5973,11.597,0.0047,-0.0004,3.4e-05,6.10222,1496.32,0.45299999999999996
