"cruise","station","tot","low","high","R2","points number","xs"
"D341","PAP",24.53,19.31,32.88,0.82,16,95
"DY032","PAP",47.25,41.8,53.63,0.89,82,453
"KN207-01","QL-1",11.64,9.35,14.8,0.7,39,23
"KN207-03","PS-1",14.6,12.73,17.01,0.8,28,35
"KN207-03","PS-3&4",13.71,11.64,16.51,0.88,42,22
"MALINA","430",3.6,2.43,6.54,0.62,6,60
"MALINA","540",3.34,2.52,4.95,0.93,6,56
"MALINA","620",39.44,26.42,62.69,0.98,6,50
"PEACETIME","FAST",39.99,32.84,48.64,0.92,54,36
"PEACETIME","ION",21.57,19.15,24.43,0.96,31,70
"PEACETIME","TYR",26.89,22.41,32.5,0.95,25,56
"TONGA","STATION 8",58.65,49.6,69.79,0.96,14,62
