"cruise","station","tot","low","high","R2","points number","xs"
"D341","PAP",30.99,23.14,58,0.82,16,95
"DY032","PAP",60.81,53.88,68.92,0.89,82,453
"KN207-01","QL-1",11.64,9.3,14.79,0.7,39,23
"KN207-03","PS-1",14.6,12.74,17.01,0.8,28,35
"KN207-03","PS-3&4",13.71,11.6,16.52,0.88,42,22
"MALINA","430",3.6,2.41,6.51,0.62,6,60
"MALINA","540",3.34,2.51,4.94,0.93,6,56
"MALINA","620",39.44,26.54,62.65,0.98,6,50
"PEACETIME","FAST",39.99,33.1,48.72,0.92,54,36
"PEACETIME","ION",25.87,23.05,29.03,0.96,31,70
"PEACETIME","TYR",33.97,28.29,40.83,0.95,25,56
"TONGA","STATION 8",58.65,49.58,69.92,0.96,14,62
