"cruise","station","tot","low","high","R2","points number","xs"
"D341","PAP",18.81,14.39,25.3,0.82,16,95
"DY032","PAP",17.46,14.97,20.46,0.89,82,453
"KN207-01","QL-1",11.64,9.33,14.83,0.7,39,23
"KN207-01","QL-2",6.89,4.88,12.02,0.42,24,95
"KN207-03","PS-1",14.6,12.75,16.99,0.8,28,35
"KN207-03","PS-3&4",13.71,11.63,16.54,0.88,42,22
"MALINA","430",3.6,2.4,6.43,0.62,6,60
"MALINA","540",3.34,2.51,4.95,0.93,6,56
"MALINA","620",39.44,26.68,63.2,0.98,6,50
"PEACETIME","FAST",39.99,32.99,48.89,0.92,54,36
"PEACETIME","ION",21.41,19,24.21,0.96,31,70
"PEACETIME","TYR",24.9,20.85,29.86,0.95,25,56
"TONGA","STATION 8",58.65,49.58,69.58,0.96,14,62
