"cruise","station","tot","low","high","R2","points number","xs"
"D341","PAP",32.21,23.37,68.7,0.82,16,95
"DY032","PAP",61.83,54.67,70.08,0.89,82,453
"KN207-01","QL-1",15.43,12.48,19.44,0.7,39,23
"KN207-01","QL-2",14.94,12.22,19.95,0.42,24,95
"KN207-03","PS-1",21.77,19.61,24.38,0.8,28,35
"KN207-03","PS-3&4",20.46,17.98,23.56,0.88,42,22
"MALINA","430",3.6,2.42,6.62,0.62,6,60
"MALINA","540",4.53,3.63,6.08,0.93,6,56
"MALINA","620",52.63,40.12,76.11,0.98,6,50
"PEACETIME","FAST",62.13,51.02,76.14,0.92,54,36
"PEACETIME","ION",37.33,33.68,41.4,0.96,31,70
"PEACETIME","TYR",47.92,40.48,57.69,0.95,25,56
"TONGA","STATION 8",76.38,65.19,90.33,0.96,14,62
