"cruise","station","tot","low","high","R2","points number","xs"
"D341","PAP",26.22,20.63,35.81,0.82,16,95
"DY032","PAP",43.48,38.27,49.47,0.89,82,453
"KN207-01","QL-1",11.64,9.37,14.81,0.7,39,23
"KN207-01","QL-2",6.89,4.84,12.05,0.42,24,95
"KN207-03","PS-1",14.6,12.77,16.98,0.8,28,35
"KN207-03","PS-3&4",13.71,11.63,16.5,0.88,42,22
"MALINA","430",3.6,2.36,6.49,0.62,6,60
"MALINA","540",3.34,2.51,4.94,0.93,6,56
"MALINA","620",39.44,26.59,63.43,0.98,6,50
"TONGA","STATION 8",58.65,49.59,70.07,0.96,14,62
