"cruise","station","tot","low","high","R2","points number","xs"
"D341","PAP",12.68,8.96,18.1,0.82,16,95
"DY032","PAP",24.94,21.52,28.84,0.89,82,453
"KN207-01","QL-1",11.41,9.2,14.44,0.7,39,23
"KN207-01","QL-2",6.85,4.88,11.49,0.42,24,95
"MALINA","430",3.54,2.39,6.02,0.62,6,60
"MALINA","540",3.22,2.47,4.52,0.93,6,56
"MALINA","620",31.2,22.61,44.67,0.98,6,50
"PEACETIME","FAST",38.54,31.79,46.94,0.92,54,36
"PEACETIME","ION",18.46,16.47,20.78,0.96,31,70
"PEACETIME","TYR",23.59,19.69,28.57,0.95,25,56
"TONGA","STATION 8",54.08,45.72,64.15,0.96,14,62
