cruise,station,Upper boundary,std Upper boundary,Upper CTD number,Lower boundary,std Lower boundary,Lower CTD number
D341,PAP,135.0,5.0,16,726.0,9.0,3
DY032,PAP,127.0,31.0,16,751.0,26.0,3
KN207-01,QL-1,151.0,0.0,2,490.0,19.0,2
KN207-01,QL-2,191.0,0.0,1,783.0,198.0,1
KN207-03,PS-1,104.0,0.0,1,490.0,5.0,1
KN207-03,PS-3&4,110.0,1.0,1,684.0,4.0,1
MALINA,430,79.0,0.0,1,544.0,40.0,1
MALINA,540,84.0,1.0,1,558.0,75.0,1
MALINA,620,95.0,31.0,1,609.0,86.0,1
PEACETIME,FAST,109.0,1.0,21,628.0,28.0,8
PEACETIME,ION,118.0,1.0,11,498.0,25.0,6
PEACETIME,TYR,111.0,3.0,10,606.0,43.0,6
TONGA,STATION 8,153.0,2.0,5,702.0,135.0,3
